,names,forms,pulici_ryha,lekova_forma,barva,tvar,konvexita,velikost,imprint
0,Opsumit 10 mg potahované tablety,"Potahovaná tableta (tableta).
5,5 mm, okrouhlé, bikonvexní, bílé až téměř bílé potahované tablety, na obou stranách s vyraženou
číslicí “10”.",False,potahovaná tableta (tableta),"bílé, bílé",okrouhlé,bikonvexní,"['5,5 mm']",
1,Ardeaelytosol conc. L-argininchlorid 21% koncentrát pro infuzní roztok,"Koncentrát pro infuzní roztok
Popis přípravku: čirý, bezbarvý roztok",False,koncentrát pro infuzní roztok,bezbarvý,roztok,roztok,,
2,Intralipid 20 % infuzní emulze,"Infuzní emulze
Popis přípravku: bílá, olejovitá, mlékovitá emulze.",False,infuzní emulze,bílá,,,,
3,"Ezetimib/Simvastatin Stada 10 mg/10 mg tablety
Ezetimib/Simvastatin Stada 10 mg/20 mg tablety","Tableta.
Ezetimib/Simvastatin Stada 10 mg/10 mg tablety: světlehnědé, skvrnité, kulaté, bikonvexní tablety
o průměru 6 mm, na jedné straně hladké a na druhé s označením „511“.
Ezetimib/Simvastatin Stada 10 mg/20 mg tablety: světlehnědé, skvrnité, kulaté, bikonvexní tablety
o průměru 8 mm, na jedné straně hladké a na druhé s označením „512“.",False,tableta,"hnědé, hnědé",kulaté,bikonvexní,"['6 mm', '8 mm']","„511“, „512“"
4,Gleperil 4 mg tablety,"Tableta
Bílé, podlouhlé tablety s půlicí rýhou na obou stranách, s vyraženým „PP“ na jedné straně a „4“ na druhé
straně. Rozměry tablet: 8,00 ± 0,10 mm x 4,00 ± 0,10 mm.
Tabletu lze rozdělit na stejné dávky.",True,tableta,bílé,podlouhlé,,"['0,10 mm', '0,10 mm']","„PP“, „4“"
5,"CARZAP 4 mg tablety
CARZAP 8 mg tablety
CARZAP 16 mg tablety
CARZAP 32 mg tablety","Tableta
CARZAP 4 mg: bílé až téměř bílé bikonvexní kulaté tablety; s půlicí rýhou a vyraženým C/4 na stejné
straně o průměru přibližně 8 mm.
CARZAP 8 mg: bílé až téměř bílé bikonvexní kulaté tablety; s půlicí rýhou a vyraženým C/8 na stejné
straně o průměru přibližně 8 mm.
CARZAP 16 mg: bílé až téměř bílé bikonvexní kulaté tablety; s půlicí rýhou a vyraženým C/16 na
stejné straně o průměru přibližně 8 mm.
CARZAP 32 mg: bílé až téměř bílé bikonvexní kulaté tablety; s půlicí rýhou a vyraženým C/32 na
stejné straně o průměru přibližně 10,5 mm.
Tabletu lze rozdělit na stejné dávky.",True,tableta,"bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé",kulaté,bikonvexní,"['8 mm', '8 mm', '8 mm', '10,5 mm']",
6,"Tonanda 2 mg/5 mg/0,625 mg tablety
Tonanda 4 mg/5 mg/1,25 mg tablety
Tonanda 4 mg/10 mg/1,25 mg tablety
Tonanda 8 mg/5 mg/2,5 mg tablety
Tonanda 8 mg/10 mg/2,5 mg tablety","Tableta.
Tonanda 2 mg/5 mg/0,625 mg tablety: Bílé až téměř bílé, oválné, bikonvexní tablety s půlicí rýhou na
jedné straně o délce 9 mm. Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv
její rozdělení na stejné dávky.
Tonanda 4 mg/5 mg/1,25 mg tablety: Bílé až téměř bílé, kulaté, mírně bikonvexní tablety se
zkosenými hranami o průměru 7 mm.
Tonanda 4 mg/10 mg/1,25 mg tablety: Bílé až téměř bílé, oválné, bikonvexní tablety s půlicí rýhou na
jedné straně o délce 12 mm. Tabletu lze rozdělit na stejné dávky.
Tonanda 8 mg/5 mg/2,5 mg tablety: Bílé až téměř bílé, kulaté, bikonvexní tablety se zkosenými
hranami o průměru 9 mm.
Tonanda 8 mg/10 mg/2,5 mg tablety: Bílé až téměř bílé, kulaté, bikonvexní tablety s půlicí rýhou na
jedné straně se zkosenými hranami o průměru 9 mm. Tabletu lze rozdělit na stejné dávky.",True,tableta,"bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé",oválné,bikonvexní,"['9 mm', '7 mm', '12 mm', '9 mm', '9 mm']",
7,"Tonarssa 4 mg/5 mg tablety
Tonarssa 4 mg/10 mg tablety
Tonarssa 8 mg/5 mg tablety
Tonarssa 8 mg/10 mg tablety","Tableta.
4 mg/5 mg: Bílé až téměř bílé, kulaté, lehce bikonvexní tablety se zkosenými okraji a vyraženou
značkou U 1 na jedné straně tablety.
4 mg/10 mg: Bílé až téměř bílé, bikonvexní tablety ve tvaru tobolky s půlicí rýhou na jedné straně.
Tableta má vyraženou značku U na jedné straně a značku 2 na druhé straně půlící rýhy. Půlicí rýha má
pouze usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na stejné dávky.
8 mg/5 mg: Bílé až téměř bílé, kulaté, bikonvexní tablety se zkosenými okraji a vyraženou značkou U
3 na jedné straně tablety.
8 mg/10 mg: Bílé až téměř bílé, kulaté, bikonvexní tablety se zkosenými okraji a půlicí rýhou na jedné
straně. Tableta má vyraženou značku U na jedné straně a značku 4 na druhé straně půlící rýhy. Tabletu
lze rozdělit na stejné dávky.",True,tableta,"bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé",kulaté,bikonvexní,,
8,Aldurazyme 100 U/ml koncentrát pro infuzní roztok.,"Koncentrát pro infuzní roztok.
Čirý až mírně opalizující, bezbarvý až světle žlutý roztok.",False,koncentrát pro infuzní roztok,"bezbarvý, žlutý",roztok.,roztok.,,
9,"Piramil 1,25 mg tablety
Piramil 2,5 mg tablety
Piramil 5 mg tablety
Piramil 10 mg tablety","Tableta.
1,25 mg tablety: bílé až téměř bílé podlouhlé tablety (8x4 mm), na obou stranách s půlicí rýhou. Půlicí rýha
není určena k rozlomení tablety.
2,5 mg tablety: světle žluté podlouhlé drobně skvrnité tablety (15x6,5 mm), na jedné straně s půlicí rýhou.
Tabletu lze rozdělit na stejné dávky.
5 mg tablety: světle růžové podlouhlé drobně skvrnité tablety (15x6,5 mm), na jedné straně s půlicí rýhou.
Tabletu lze rozdělit na stejné dávky.
10 mg tablety: bílé až téměř bílé podlouhlé tablety (15x6,5 mm), na jedné straně s půlicí rýhou. Tabletu lze
rozdělit na stejné dávky.",True,tableta,"bílé, bílé, žluté, růžové, bílé, bílé",podlouhlé,,"['4 mm', '6,5 mm', '6,5 mm', '6,5 mm']",
